s,rpm
0.00514599,0
0.01337446,2.794712846
0.02159462,3.731635251
0.02979403,4.051402326
0.0379729,4.165422479
0.04613141,4.210832017
0.05426975,4.233343215
0.06238812,4.248193663
0.07048669,4.260462725
0.07856564,4.271843684
0.08662516,4.282901129
0.09466543,4.293823414
0.10268661,4.30467348
0.11068888,4.315472461
0.11867242,4.326227554
0.12663738,4.336941307
0.13458393,4.347614716
0.14251225,4.358248261
0.15042248,4.368842243
0.15831479,4.379396906
0.16618933,4.389912468
0.17404627,4.400389143
0.18188575,4.410827135
0.18970792,4.421226649
0.19751294,4.431587883
0.20530095,4.441911035
0.2130721,4.452196299
0.22082653,4.462443868
0.22856439,4.472653931
0.23628581,4.482826675
0.24399094,4.492962285
0.25167991,4.503060943
0.25935285,4.513122828
0.26700991,4.523148119
0.27465121,4.533136992
0.28227688,4.543089618
0.28988706,4.553006169
0.29748186,4.562886814
0.30506143,4.57273172
0.31262587,4.582541052
0.32017532,4.592314972
0.3277099,4.602053641
0.33522973,4.611757218
0.34273492,4.621425859
0.35022559,4.63105972
0.35770187,4.640658954
0.36516386,4.650223712
0.37261169,4.659754143
0.38004545,4.669250396
0.38746527,4.678712616
0.39487125,4.688140948
0.40226351,4.697535533
0.40964215,4.706896515
0.41700727,4.71622403
0.42435899,4.725518218
0.4316974,4.734779215
0.43902262,4.744007155
0.44633473,4.753202172
0.45363385,4.762364396
0.46092007,4.771493959
0.4681935,4.780590988
0.47545422,4.789655612
0.48270234,4.798687957
0.48993796,4.807688146
0.49716116,4.816656303
0.50437204,4.82559255
0.5115707,4.834497007
0.51875722,4.843369794
0.5259317,4.852211029
0.53309422,4.861020828
0.54024488,4.869799308
0.54738377,4.878546581
0.55451097,4.887262762
0.56162656,4.895947962
0.56873065,4.904602292
0.57582329,4.913225862
0.5829046,4.92181878
0.58997463,4.930381154
0.59703349,4.938913091
0.60408125,4.947414694
0.61111798,4.955886069
0.61814378,4.964327319
0.62515872,4.972738546
0.63216287,4.98111985
0.63915632,4.989471333
0.64613915,4.997793094
0.65311142,5.00608523
0.66007322,5.01434784
0.66702461,5.022581018
0.67396568,5.030784862
0.6808965,5.038959465
0.68781714,5.047104921
0.69472767,5.055221323
0.70162816,5.063308763
0.70851868,5.071367331
0.71539931,5.079397119
0.72227012,5.087398215
0.72913116,5.095370708
0.73598252,5.103314687
0.74282426,5.111230237
0.74965644,5.1130097
0.75647913,5.108337341
0.76331681,5.095339064
0.77018732,5.07510995
0.77709119,5.052353533
0.78402898,5.02863694
0.79100126,5.004481801
0.79800861,4.980061216
0.80505163,4.955432079
0.81213093,4.930612519
0.81924714,4.905607706
0.82640089,4.88041846
0.83359286,4.855044118
0.8408237,4.82948348
0.84809411,4.803735136
0.85540481,4.777797563
0.86275652,4.75166916
0.87014999,4.725348261
0.87758599,4.69883313
0.88506531,4.672121965
0.89258876,4.645212895
0.90015718,4.618103974
0.90777142,4.590793182
0.91543236,4.563278419
0.92314092,4.535557505
0.93089804,4.50762817
0.93870466,4.479488059
0.9465618,4.45113472
0.95447046,4.422565606
0.96243172,4.393778066
0.97044665,4.364769342
0.97851638,4.335536565
0.98664207,4.306076747
0.99482493,4.276386779
1.00306618,4.246463421
1.01136712,4.216303299
1.01972907,4.185902894
1.0281534,4.15525854
1.03664153,4.124366412
1.04519495,4.09322252
1.05381516,4.061822697
1.06250377,4.030162594
1.0712624,3.998237666
1.08009278,3.966043161
1.08899668,3.933574113
1.09797594,3.900825322
1.10703248,3.867791348
1.11616831,3.834466488
1.1253855,3.800844767
1.13468624,3.76691992
1.14407279,3.732685369
1.15354752,3.698134207
1.1631129,3.663259174
1.17277153,3.628052637
1.18252612,3.592506558
1.19237951,3.556612472
1.20233469,3.520361453
1.21239477,3.483744082
1.22256307,3.446750408
1.23284303,3.409369913
1.2432383,3.37159146
1.25375273,3.333403251
1.26439038,3.294792772
1.27515554,3.255746728
1.28605275,3.216250985
1.29708683,3.176290492
1.30826289,3.135849198
1.31958636,3.094909963
1.33106302,3.053454456
1.34269905,3.011463039
1.35450103,2.968914634
1.36647602,2.92578658
1.37863158,2.882054465
1.39097585,2.837691936
1.40351759,2.792670477
1.41626623,2.746959166
1.42923202,2.700524381
1.44242604,2.653329467
1.4558604,5.069708234
1.46954825,-1.818316563
1.48324769,-1.66338965
1.49694712,-9.282411178
1.51064656,-11.81465326
1.5243576,-12.64795381
1.53807312,-12.91740662
1.55179187,-12.9994367
1.56551304,-13.01932584
1.57923607,-13.01872746
1.59296055,-13.01145782
1.60668618,-13.00207593
1.62041272,-12.99206857
1.63413998,-12.98190753
1.64786782,-12.97173259
1.66159612,-12.96157748
1.6753248,-12.95144398
1.68905378,-12.94132576
1.702783,-12.93121581
1.71651242,-12.92110837
1.73024199,-12.91099931
1.7439717,-12.90088598
1.75770151,-12.89076695
1.7714314,-12.88064179
1.78516136,-12.87051085
1.79889137,-12.86037512
1.81262143,-12.85023608
1.82635153,-12.84009561
1.84008165,-12.82995589
1.8538118,-12.81981935
1.86754197,-12.80968861
1.88127216,-12.79956643
1.89500235,-14.88458981
1.90873256,-9.222994068
1.92246277,-9.427566055
1.936193,-3.142522018
1.94980896,-1.047507339
1.96331348,-0.349169113
1.97670926,-0.116389704
1.98999891,-0.038796568
2.00318492,-0.012932189
2.01626968,-0.00431073
2.02925551,-0.00143691
2.04214464,-0.00047897
2.05493919,-0.000159657
2.06764123,-5.32E-05
2.08025276,-1.77E-05
2.09277568,-5.91E-06
2.10521184,-1.97E-06
2.11756305,-6.57E-07
2.12983102,-2.19E-07
2.14201742,-7.30E-08
2.15412386,-2.43E-08
2.16615191,-8.11E-09
2.17810309,-2.70E-09
2.18997884,-9.01E-10
2.20178059,-3.00E-10
2.21350972,-1.00E-10
2.22516755,-3.34E-11
2.23675537,-1.11E-11
2.24827444,-3.71E-12
2.25972598,-1.24E-12
2.27111116,-4.12E-13
2.28243113,-1.37E-13
2.29368701,-4.58E-14
2.30487987,-1.53E-14
2.31601078,-5.09E-15
2.32708074,-1.70E-15
2.33809077,-5.65E-16
2.34904182,-1.88E-16
2.35993484,-6.28E-17
2.37077074,-2.09E-17
2.38155043,-6.98E-18
2.39227477,-2.33E-18
2.40294461,-7.75E-19
2.41356078,-2.58E-19
2.42412408,-8.62E-20
2.4346353,-2.87E-20
2.44509521,-9.57E-21
2.45550456,-3.19E-21
2.46586407,-1.06E-21
2.47617447,-3.55E-22
2.48643644,-1.18E-22
2.49665066,-3.94E-23
2.5068178,-1.31E-23
2.51693852,-4.38E-24
2.52701343,-1.46E-24
2.53704317,-4.86E-25
2.54702833,-1.62E-25
2.55696952,-5.40E-26
2.56686731,-1.80E-26
2.57672226,-6.00E-27
2.58653494,-2.00E-27
2.59630588,-6.67E-28
2.60603562,-2.22E-28
2.61572467,-7.41E-29
2.62537355,-2.47E-29
2.63498276,-8.24E-30
2.64455277,-2.75E-30
2.65408408,-9.15E-31
2.66357714,-3.05E-31
2.67303243,-1.02E-31
2.68245039,-3.39E-32
2.69183145,-1.13E-32
2.70117607,-3.77E-33
2.71048465,-1.26E-33
2.71975761,-4.18E-34
2.72899537,-1.39E-34
2.73819832,-4.65E-35
2.74736686,-1.55E-35
2.75650137,-5.17E-36
2.76560223,-1.72E-36
2.77466982,-5.74E-37
2.78370449,-1.91E-37
2.79270661,-6.38E-38
2.80167653,-2.13E-38
2.81061458,-7.09E-39
2.81952113,-2.36E-39
2.82839648,-7.87E-40
2.83724098,-2.62E-40
2.84605495,-8.75E-41
2.8548387,-2.92E-41
2.86359253,-9.72E-42
2.87231677,-3.24E-42
2.8810117,-1.08E-42
2.88967763,-3.60E-43
2.89831484,-1.20E-43
2.90692363,-4.00E-44
2.91550426,-1.33E-44
2.92405702,-4.45E-45
2.93258217,-1.48E-45
2.94117176,-4.94E-46
2.94983622,-1.65E-46
2.95857732,-5.49E-47
2.96739683,5.28E-06
2.97629665,1.76E-06
2.98527873,5.87E-06
2.99434511,1.96E-06
3.0034979,6.52E-07
3.01273933,2.17E-07
3.02207173,-4.91E-06
